source_ENSEMBL target_ENSEMBL interaction
ENSG00000101126 ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1 1
ENSG00000101126 ENSG00000168036 1
ENSG00000163485 ENSG00000128266 1
ENSG00000163485 ENSG00000087258 1
ENSG00000163485 ENSG00000065135 1
ENSG00000163485 ENSG00000172354 1
ENSG00000163485 ENSG00000127955 1
ENSG00000128271 ENSG00000065135 1
ENSG00000128271 ENSG00000156049 1
ENSG00000128271 ENSG00000156052 1
ENSG00000128271 ENSG00000172354 1
ENSG00000128271 ENSG00000087258 1
ENSG00000128271 ENSG00000127955 1
ENSG00000128271 ENSG00000141404 1
ENSG00000128271 ENSG00000087460 1
ENSG00000128271 ENSG00000128266 1
ENSG00000170425 ENSG00000127955 1
ENSG00000170425 ENSG00000156052 1
ENSG00000170425 ENSG00000128266 1
ENSG00000170425 ENSG00000087460 1
ENSG00000170425 ENSG00000141404 1
ENSG00000170425 ENSG00000065135 1
ENSG00000170425 ENSG00000156049 1
ENSG00000170425 ENSG00000087258 1
ENSG00000282608 ENSG00000127955 1
ENSG00000282608 ENSG00000065135 1
ENSG00000120907 ENSG00000088256 1
ENSG00000120907 ENSG00000172354 1
ENSG00000120907 ENSG00000120063 1
ENSG00000120907 ENSG00000156052 1
ENSG00000120907 ENSG00000087460 1
ENSG00000120907 ENSG00000141404 1
ENSG00000120907 ENSG00000156049 1
ENSG00000170214 ENSG00000156052 1
ENSG00000170214 ENSG00000087460 1
ENSG00000170214 ENSG00000088256 1
ENSG00000170214 ENSG00000156049 1
ENSG00000170214 ENSG00000141404 1
ENSG00000171873 ENSG00000141404 1
ENSG00000171873 ENSG00000087460 1
ENSG00000171873 ENSG00000156052 1
ENSG00000171873 ENSG00000156049 1
ENSG00000150594 ENSG00000128266 1
ENSG00000150594 ENSG00000065135 1
ENSG00000150594 ENSG00000087258 1
ENSG00000150594 ENSG00000127955 1
ENSG00000150594 ENSG00000172354 1
ENSG00000274286 ENSG00000128266 1
ENSG00000274286 ENSG00000065135 1
ENSG00000274286 ENSG00000146535 1
ENSG00000274286 ENSG00000127955 1
ENSG00000274286 ENSG00000087258 1
ENSG00000184160 ENSG00000128266 1
ENSG00000184160 ENSG00000127955 1
ENSG00000184160 ENSG00000065135 1
ENSG00000184160 ENSG00000087258 1
ENSG00000043591 ENSG00000087460 1
ENSG00000043591 ENSG00000156049 1
ENSG00000043591 ENSG00000141404 1
ENSG00000169252 ENSG00000156049 1
ENSG00000169252 ENSG00000087460 1
ENSG00000169252 ENSG00000172354 1
ENSG00000169252 ENSG00000141404 1
ENSG00000169252 ENSG00000156052 1
ENSG00000169252 ENSG00000065135 1
ENSG00000188778 ENSG00000141404 1
ENSG00000130706 ENSG00000116750 1
AEBP2_EED_EZH2_RBBP4_SUZ12 ENSG00000286522 1
ENSG00000169129 ENSG00000121879 1
ENSG00000130396 ENSG00000174791 1
ENSG00000130396 ENSG00000197122 1
ENSG00000130396 ENSG00000044115 1
ENSG00000130396 ENSG00000143622 1
ENSG00000155966 CCNT1_CDK9 1
ENSG00000155966 POLR2A_POLR2B_POLR2C_POLR2D_POLR2E_POLR2F_POLR2G_POLR2H_POLR2I_POLR2J_POLR2J2_POLR2J3_POLR2K_POLR2L_POLR2M_POLR2M 1
ENSG00000188157 ENSG00000147432 1
ENSG00000188157 ENSG00000030304 1
ENSG00000188157 ENSG00000173402 1
ENSG00000159723 ENSG00000124089 -1
ENSG00000159723 ENSG00000166603 -1
ENSG00000159723 ENSG00000176136 -1
ENSG00000159723 ENSG00000258839 1
ENSG00000135744 ENSG00000180772 1
ENSG00000135744 ENSG00000081479 1
ENSG00000135744 ENSG00000143839 1
ENSG00000135744 ENSG00000144891 1
